Nome;Tipo
COLEGIO REFFERENCIAL;Privada
REDE DE ENSINO TECNICO CETEPS;Privada
MAPLE BEAR;Privada
LE IRDAK;Privada
CENTRO EDUCACIONAL JEAN PIAGET;Privada
INSTITUTO DE EDUCACAO COOPERAR LTDA;Privada
EMEI PROF ELOY SOUZA DA COSTA;Municipal
CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO O CASULO;Privada
ESCOLA SENAI DA CONSTRUCAO;Privada
EM PROFESSORA MARIA REGINA DE VASCONCELOS GALVAO;Municipal
ESCOLA CONQUISTA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL EIRELE-ME;Privada
ESCOLA AFETIVA;Privada
COLEGIO MASTER LTDA;Privada
ESCOLA DE EDUCACAO FUNDAMENTAL ALFA LTDA -ME;Privada
ESCOLA DE EDUCACAO FUNDAMENTAL BETA LTDA -ME;Privada
BERCARIO PAULO FREIRE;Privada
EMEI PROF ELZA FRANCISCA DE SOUZA MACIEL;Municipal
CENTRO DE EDUCACAO PROFISSIONAL-SENAC TURISMO E GASTRONOMIA;Privada
ESCOLA ABC JUNIOR;Privada
EMEI PROFESSORA EMY ISHIDA NASCIMENTO NOGUEIRA;Municipal
CASA DE MARIA;Privada
COLEGIO ALMIRANTE TAMANDARE - CCAT BABY;Privada
CENTRO DE ESTUDOS ASES DA EDUCACAO LTDA;Privada
COLEGIO MON GEANT ENSINO FUNDAMENTAL I E II LTDA;Privada
GEMS - CENTRO EDUCACIONAL MS LTDA - EDC - ESCOLA DE CURSOS;Privada
CENTRO DE EXCELENCIA EM BOVINOCULTURA DE CORTE;Privada
CENTRO ESTADUAL DE FORMACAO DE PROFESSORES INDIGENAS DE MS;Estadual
ESCOLA ESTADUAL PROFESSOR ALBERTO ELPIDIO FERREIRA DIAS - PROFESSOR TITO;Estadual
EMEI PROFESSOR ALBERTO GUILHERME BATISTOTI;Municipal
EMEI ZARIFE MARTINS FRANCA;Municipal
COLEGIO PRIMAVERA;Privada
COLEGIO REINO CRESCER;Privada
COLEGIO HARMONIA - UNIDADE II;Privada
INSTITUTO VIEIRA DE EDUCACAO LTDA;Privada
ESCOLA TOM DA VIDA EIRELLI;Privada
GRUPO EDUCACIONAL ATOS;Privada
COLEGIO NOSSA SENHORA DAS GRACAS;Privada
ESCOLA PARTICULAR SONHO MEU;Privada
COLEGIO MAESTRIA - ENEM E VESTIBULARES;Privada
COLEGIO CONSTRUINDO O FUTURO;Privada
COLEGIO SIGMA BERCARIO E EDUCACAO INFANTIL LTDA;Privada
CENTRO EDUCACIONAL ARTE DE ENSINAR;Privada
EMEI PROFª LUZINETE CEZAR GONCALVES;Municipal
EMEI PROFª IRACEMA DA CUNHA BARRETO;Municipal
EM PROFª AGLAIR MARIA ALVES;Municipal
COLEGIO ADVENTISTA VILAS BOAS;Privada
COLEGIO DE EDUCACAO INFANTIL MONTEIRO LOBATO LTDA;Privada
CRECHE NOSSA SENHORA AUXILIADORA - UNIDADE II;Privada
ESCOLA ESPECIAL O CASULO;Privada
COLEGIO FENNIX BABY;Privada
COLEGIO STATUS - UNIDADE 3;Privada
ESCOLA ESPLENDOR DO SABER;Privada
INSTY COLEGIO E CURSOS;Privada
ASSOCIACAO SUL MATO GROSSENSE DE AMPARO A CRIANCA E AO ADOLESCENTE-ASSOMAT;Privada
NINHO JARDIM DE INFANCIA;Privada
COLEGIO EVORA;Privada
COLEGIO STATUS - UNIDADE II;Privada
ESCOLA INTEGRADA HORIZONTE - CAEEH;Privada
CEI - CLAUDETE DE OLIVEIRA DA VERA CRUZ;Privada
ESCOLA MATER CARMELI;Privada
ESCOLA PROFª NAZARETH MENDES SILVA - EP NMS;Privada
CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO MARCELO TAKAHASHI;Privada
ESCOLA SOMAE;Privada
CENTRO EDUCACIONAL MANOEL DE BARROS;Privada
ESCOLA MUNDO MAGICO UNIDADE II;Privada
ESCOLA IMAGINAR UNIDADE I;Privada
ESCOLA IMAGINAR UNIDADE II;Privada
ESCOLA IMAGINAR UNIDADE III;Privada
ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL NOVO FUTURO LTDA;Privada
EMEI PROFª DULCE COUTRIM DE FREITAS;Municipal
DESAFIO CENTRO EDUCACIONAL;Privada
COLEGIO STATUS - UNIDADE JARDIM DOS ESTADOS;Privada
GAPPE ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL LTDA;Privada
MAPLE BEAR - UNIDADE II;Privada
ESCOLA COLO DE MAE;Privada
INSTITUTO DE EDUCACAO BOA NOVA;Privada
GRAU TECNICO - CAMPO GRANDE CENTRO;Privada
ESCOLA AMARELINHA YELLOW - UNIDADE II;Privada
COLEGIO FUTURO LTDA;Privada
ESCOLA AGUAPE;Privada
ESCOLA CHEIRO DE ALECRIM;Privada
EDUCANDARIO ESPIRITA BLAISE PASCAL;Privada
ESCOLA ESPIRITA ANALIA FRANCO;Privada
CRECHE NOSSA SENHORA AUXILIADORA - UNIDADE I;Privada
EMEI RAMZA BEDOGLIN DOMINGOS;Municipal
EMEI MARIA OLIVEIRA LIMA;Municipal
EMEI PROFª AYD CAMARGO CESAR;Municipal
EMEI LAFAYETE CAMARA DE OLIVEIRA;Municipal
EMEI MARIA CARLOTA TIBAU DE VASCONCELOS;Municipal
ESCOLA CRISTA ESTACAO CRIANCA;Privada
COLEGIO DE ENSINO FUNDAMENTAL NOVA GERACAO;Privada
EMEI REGINA VITORAZZI SEBBEN;Municipal
EMEI PROF EDISON DA SILVA;Municipal
EMEI SANDRA MARA GOBBO;Municipal
EM PROFESSORA ANA LUCIA DE OLIVEIRA BATISTA;Municipal
EM PROFESSORA IRACEMA MARIA VICENTE;Municipal
EMEI CARLOS NEI DA SILVA;Municipal
NOVAESCOLA;Privada
CENTRO DE EDUCACAO INFANTIL RISCOS E RABISCOS;Privada
ESCOLA PADRAO LTDA;Privada
ESCOLA CRIATIVIDADE;Privada
EM JOSE MAURO MESSIAS DA SILVA - POETA DAS MORENINHAS;Municipal
EM SENADOR RACHID SALDANHA DERZI;Municipal
